time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.069,83.98151964910862,110.6345033175695,183.36269760070948,53.39256560791097,146.12317174481427,118.69821741353095,105.33196029110394,136.03603612550143,481.7957694563103,-49.030695690632044,16.12369687106593,258.6511500895932,260.5301713627316,9.569280007036443,0.6154848425281709
0.07,84.08633702877734,110.2818393331168,184.2201617652721,54.059691489165516,146.584136193743,118.58715328291385,106.26982932336426,135.98426455993274,480.686429023461,-49.56762210385031,16.325025413951195,258.727975095689,260.84353549167656,9.575023545537475,0.6226185342438286
0.071,84.1912289557226,109.94161782187221,185.0758102920228,54.73460394135196,147.06490552833418,118.48261265994651,107.25478362474743,135.92748762507554,479.58637507000986,-50.09973197770732,16.52134543375695,258.8092654484507,261.16230658682485,9.581026871575279,0.6289215220587214
0.072,84.29594521214192,109.61335673013282,185.92880095686542,55.4170702985686,147.56435834158742,118.38510262042635,108.2855801654857,135.86548319349518,478.50041511985233,-50.62684357392273,16.713170577819994,258.8951171975401,261.486289459948,9.587269566341247,0.6343888532763258
0.073,84.40023623741328,109.29656319000156,186.77826796305845,56.10686984360001,148.08120418009065,118.29508839266214,109.36067270604786,135.7980872935379,477.4337352654684,-51.14877173725944,16.901020627445135,258.98560000183494,261.81528164056755,9.59372822897349,0.6390182458405035
0.074,84.50385384107143,108.99073749041081,187.62332108310636,56.80379347164464,148.61398680218352,118.21298768813944,110.47821330799681,135.7252064971828,476.3918980502078,-51.66532870119006,17.085421760137166,259.0807581453286,262.1490733841428,9.600376842017125,0.6428105426367303
0.075,84.60655206460203,108.69537727090082,188.46304605049602,57.50764326265099,149.16109021239197,118.13916349670875,111.63605650400842,135.64682935793263,475.3808375691751,-52.17632510874728,17.266906162432406,259.18061159517725,262.4874478604145,9.607187208106142,0.6457700402246523
0.076,84.70808821830929,108.40998197608039,189.29650630271567,58.21823191029358,149.720747333478,118.0739152460549,112.83176613030491,135.56303568495446,474.4068497063628,-52.681571203391115,17.446010822786292,259.2851570292572,262.83018146693894,9.614129417400335,0.6479046939618536
0.077,84.80822408145299,108.13405760050394,190.12274611086784,58.935382031787015,150.29105121767134,118.01746909907408,114.06262471351039,135.4740020292009,473.47657549316006,-53.18087812726999,17.623275600625504,259.39436882062444,263.17704421471024,9.621172314127625,0.6492262419988135
0.078,84.90672722444847,107.86712172964192,190.94079503574096,59.65892546927975,150.86996865625287,117.96996900359699,115.3256452986549,135.3800017186943,472.596975817355,-53.67405927339121,17.79924075601936,259.5081999980657,263.52780024083603,9.628283937222026,0.649750294600344
0.079,85.00337240370166,107.6087088325761,191.74967356339766,60.38870279082653,151.45535592399415,117.9314705416225,116.61758569689758,135.2813983045359,471.77529586836454,-54.16093165712414,17.974444056213486,259.6265831849571,263.88220858731006,9.63543191265557,0.6494964046508656
0.08,85.09794299632222,107.35837570256649,192.54839973638786,61.12456328427754,152.04497626059117,117.90193930701334,117.93496527203794,135.178632410757,471.0190174855885,-54.64131728677191,18.149417477253635,259.74943147203624,264.24002432787273,9.64258377977557,0.6484880984773311
0.081,85.19023246262795,107.11570687934004,193.3359965902074,61.86636572553974,152.63651863020732,117.88125439900935,119.27408456068721,135.07220348835844,470.33579703476084,-55.11504451167231,18.324683498417713,259.8766391511102,264.6009999624372,9.649707245968134,0.6467528274339204
0.082,85.28004581401103,106.8803198074248,194.1115001541536,62.6139800334048,153.22761727034822,117.8692160077549,120.63104811699958,134.96264934343264,469.7333857788439,-55.581949300132806,18.500751076452744,260.0080822636072,264.96488686330486,9.656770381640245,0.644321808111108
0.083,85.36720102614068,106.65186942870666,194.87396769040296,63.36728964490439,153.8158715415599,117.86555480662102,122.00179090682583,134.85052689929364,469.2195293530637,-56.041876375455146,18.67811151709516,260.1436190043197,265.33143654984053,9.663741783209414,0.6412297388122595
0.084,85.45153030821389,106.4300519424131,195.62248579117437,64.12619419472924,154.39886565814163,117.86994061699556,123.38210840024598,134.73639718032604,468.80184302469894,-56.49468013254524,18.857234515857897,260.28309010380536,265.70040170341764,9.670590737693988,0.6375143934971615
0.085,85.53288114362181,106.2146075801289,196.35617797151758,64.89061199528598,154.9741879339515,117.88198866258264,124.76769015600534,134.62081602013382,468.4876598508971,-56.94022528476506,19.03856458185534,260.4263193293443,266.071537009323,9.67728742012338,0.6332161045590731
0.086,85.61111706083136,106.00532239932394,197.0742114933051,65.66048194996893,155.5394492123306,117.9012632773256,126.1541562816754,134.50433004877013,468.28384951314666,-57.37838723891272,19.22251790866258,260.57311417190635,266.44460001216856,9.683803151480523,0.628377160195244
0.087,85.68611815389318,105.80202924319062,197.77580329129998,66.43576481282105,156.09230015105663,117.92728028080012,127.53709573370159,134.3874760430706,468.19660685389937,-57.80905223831195,19.409479567413143,260.7232666617641,266.81935216510476,9.690110735816452,0.6230411593597959
0.088,85.75778140746246,105.60460806801717,198.46022495254863,67.21644396465587,156.63044696088798,117.95950971173512,128.91210501900892,134.27078130187687,468.2312115472532,-58.232117328172876,19.599800772732166,260.87655416398667,267.19556014624555,9.696184872412454,0.6172523758427171
