time,hip_angle,knee_angle,ankle_angle,mtp_angle
s,deg,deg,deg,deg
0.418,196.0747,102.1714,145.6685,135.0547
0.419,195.7583,101.2112,145.5189,135.0585
0.42,195.4358,100.2519,145.3671,135.0619
0.421,195.1071,99.29351,145.2131,135.0648
0.422,194.772,98.33587,145.0572,135.0668
0.423,194.4305,97.379,144.8996,135.0679
0.424,194.0824,96.42286,144.7403,135.0677
0.425,193.7276,95.46741,144.5794,135.0661
0.426,193.366,94.51265,144.4171,135.0631
0.427,192.9975,93.55855,144.2533,135.0585
0.428,192.6219,92.6051,144.088,135.0524
0.429,192.2392,91.6523,143.9214,135.0447
0.43,191.8492,90.70015,143.7534,135.0353
0.431,191.4518,89.74866,143.5839,135.0244
0.432,191.0469,88.79787,143.4129,135.0119
0.433,190.6345,87.8478,143.2404,134.998
0.434,190.2143,86.8985,143.0663,134.9829
0.435,189.7863,85.95004,142.8904,134.9666
0.436,189.3504,85.00249,142.7128,134.9495
0.437,188.9064,84.05594,142.5333,134.9317
0.438,188.4544,83.11051,142.3518,134.9136
0.439,187.9941,82.1663,142.1682,134.8953
0.44,187.5256,81.22347,141.9825,134.8773
0.441,187.0488,80.28218,141.7946,134.8596
0.442,186.5635,79.34261,141.6043,134.8427
0.443,186.0697,78.40495,141.4117,134.8269
0.444,185.5674,77.46941,141.2167,134.8124
0.445,185.0565,76.53624,141.0193,134.7994
0.446,184.5369,75.60569,140.8195,134.7883
0.447,184.0087,74.67801,140.6174,134.7793
0.448,183.4717,73.75351,140.4129,134.7724
0.449,182.9259,72.83248,140.2062,134.7681
0.45,182.3713,71.91524,139.9973,134.7662
0.451,181.8079,71.00212,139.7864,134.7671
0.452,181.2358,70.09348,139.5735,134.7707
0.453,180.6548,69.18968,139.3589,134.7772
0.454,180.065,68.29108,139.1426,134.7866
0.455,179.4664,67.39809,138.9249,134.7989
0.456,178.8592,66.51108,138.7058,134.814
0.457,178.2432,65.63046,138.4856,134.8321
0.458,177.6186,64.75665,138.2644,134.853
0.459,176.9855,63.89005,138.0424,134.8766
0.46,176.344,63.0311,137.8199,134.9029
0.461,175.6941,62.18021,137.597,134.9318
0.462,175.0359,61.33782,137.3738,134.9632
0.463,174.3697,60.50436,137.1505,134.997
0.464,173.6955,59.68024,136.9273,135.033
0.465,173.0134,58.8659,136.7043,135.0712
0.466,172.3238,58.06176,136.4816,135.1115
0.467,171.6267,57.26823,136.2594,135.1537
0.468,170.9223,56.48572,136.0377,135.1977
0.469,170.2109,55.71463,135.8165,135.2433
0.47,169.4925,54.95535,135.5961,135.2904
0.471,168.7675,54.20827,135.3763,135.3389
0.472,168.036,53.47375,135.1572,135.3885
0.473,167.2982,52.75214,134.9387,135.4392
0.474,166.5543,52.04378,134.7208,135.4908
0.475,165.8044,51.349,134.5036,135.543
0.476,165.0489,50.66811,134.2868,135.5958
0.477,164.2877,50.0014,134.0704,135.649
0.478,163.5211,49.34915,133.8543,135.7025
0.479,162.7492,48.71162,133.6383,135.756
0.48,161.9722,48.08907,133.4223,135.8096
0.481,161.1901,47.48172,133.2063,135.863
0.482,160.4031,46.8898,132.9899,135.9162
0.483,159.6113,46.31351,132.7732,135.9691
0.484,158.8146,45.75304,132.5559,136.0216
