485,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.229,83.92342,84.27703,139.8901,174.2942,156.616,58.92565,122.9861,135.2503,131.6365,140.0533
0.23,83.8956,84.26131,140.2532,173.6613,156.4389,58.24834,122.8589,134.9697,132.2323,140.1003
0.231,83.86787,84.24494,140.6243,173.0211,156.268,57.58333,122.699,134.6908,132.8855,140.1468
0.232,83.84014,84.22781,141.0031,172.3736,156.1028,56.93082,122.5044,134.4137,133.5953,140.1927
0.233,83.81231,84.2098,141.3893,171.7185,155.9427,56.29104,122.2735,134.1386,134.3595,140.238
0.234,83.78426,84.1908,141.7824,171.0557,155.7866,55.66417,122.005,133.8655,135.1745,140.2826
0.235,83.75586,84.17067,142.1818,170.3848,155.6338,55.05042,121.6979,133.5947,136.0356,140.3264
0.236,83.72697,84.14927,142.5868,169.7058,155.4831,54.44995,121.3517,133.3262,136.9368,140.3694
0.237,83.69746,84.12646,142.9967,169.0182,155.3333,53.86296,120.9664,133.06,137.8708,140.4115
0.238,83.66715,84.10207,143.4107,168.3219,155.1833,53.2896,120.5426,132.7964,138.8298,140.4527
0.239,83.63588,84.07596,143.8279,167.6166,155.0317,52.73005,120.0814,132.5353,139.8056,140.4928
0.24,83.60348,84.04798,144.2474,166.902,154.8774,52.18446,119.5846,132.2768,140.7896,140.5318
0.241,83.56976,84.01797,144.6681,166.1779,154.719,51.65301,119.0543,132.021,141.7738,140.5697
0.242,83.53453,83.9858,145.089,165.4439,154.5554,51.13587,118.4932,131.7678,142.7502,140.6064
0.243,83.4976,83.95134,145.5092,164.6999,154.3854,50.63322,117.9042,131.5174,143.7112,140.6419
0.244,83.45878,83.91449,145.9275,163.9457,154.2078,50.14525,117.2906,131.2696,144.6496,140.6761
0.245,83.41789,83.87514,146.343,163.1811,154.0217,49.67215,116.6561,131.0246,145.5587,140.709
0.246,83.37474,83.83324,146.7547,162.406,153.826,49.21415,116.0042,130.7823,146.4318,140.7404
0.247,83.32915,83.78875,147.1616,161.6203,153.6198,48.77146,115.339,130.5428,147.2632,140.7705
0.248,83.28095,83.74167,147.5628,160.824,153.4022,48.34435,114.664,130.3061,148.0473,140.7992
0.249,83.23,83.69201,147.9575,160.0171,153.1726,47.93309,113.9833,130.0721,148.7795,140.8265
0.25,83.17616,83.63985,148.3451,159.1999,152.9301,47.53796,113.3004,129.8409,149.456,140.8522
0.251,83.1193,83.58529,148.725,158.3724,152.6743,47.15928,112.6187,129.6125,150.0737,140.8766
0.252,83.05933,83.52847,149.0966,157.535,152.4047,46.7974,111.9416,129.3869,150.6306,140.8994
0.253,82.99617,83.46957,149.4596,156.6881,152.121,46.45268,111.2717,129.1641,151.1253,140.9209
0.254,82.92979,83.40883,149.8139,155.8321,151.8228,46.12551,110.6115,128.9442,151.5574,140.941
0.255,82.86017,83.34651,150.1595,154.9677,151.5102,45.81632,109.9632,128.7271,151.9271,140.9598
0.256,82.78733,83.28291,150.4964,154.0954,151.183,45.52554,109.3285,128.5129,152.235,140.9775
